恒星
♈	テ・ラウ・タウファレ	翡翠ハンター	おひつじ
♉	チャーリー・フロスト	銀行員	おうし
♊	ベンジャミン・レーヴェンタール	新聞発行人	ふたご
♋	エドガー・クリンチ	ホテル支配人	かに
♌	ディック・マナリング	金鉱成金	しし
♍	キー・ロン	金細工師	おとめ
♎	ハラルド・ニルセン	代理商	てんびん
♏	ジョゼフ・プリチャード	薬剤師	さそり
♐	トマス・バルフォア	海運業者	いて
♑	オベール・ガスコワン	書記	やぎ
♒	スーク・ヨンシェン	帽子屋(ひとり堀り)	みずがめ
♓	カウェル・デヴリン	牧師	うお

惑星
☿	ウォルター・ムーディー	理性	水星	1♐,2♑,3♒,4♈,5♈,6♉,7♊,8♍,9♌
♀	リディア・カーヴァー(ウェルズ)旧姓グリーンウェイ	欲望	金星	1♑,2♒,3♓,4♈,5♈,6♉,7♉,8♊,9♌
♂	フランシス・カーヴァー	暴力	火星
♃	アリステア・ローダバック	命令	木星
♄	ジョージ・シェパード	拘束	土星
☽	アンナ・ウェザレル	もっとも外側(かつてもっとも内側)	月
☉	エメリー・ステインズ	もっとも内側(かつてもっとも外側)	太陽

地球
⊕	クロスビー・ウェルズ	故人	地球
